Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
51,PowerShell,Microsoft,40d39ce9-c381-47a0-80c8-a6661f731eab,https://github.com/PowerShell/vscode-powershell.git,9317730,True,0,0,0,0,0,
52,Remote Explorer,Microsoft,11858313-52cc-4e57-b3e4-d7b65281e34b,https://github.com/Microsoft/vscode-remote-release.git,8405036,False,0,0,0,0,0,
53,EditorConfig for VS Code,EditorConfig,f60a60a6-95ba-42d4-b41c-3d24c1b89588,https://github.com/editorconfig/editorconfig-vscode.git,8393208,True,0,0,0,0,0,
54,Code Spell Checker,Street Side Software,f6dbd813-b0a0-42c1-90ea-10dde9d925a7,https://github.com/streetsidesoftware/vscode-spell-checker.git,8374468,True,0,0,0,0,0,
55,Django,Baptiste Darthenay,4b41a5a8-170e-4156-b2c0-10efb270abbc,https://github.com/vscode-django/vscode-django.git,8297351,True,0,0,0,0,0,
56,One Dark Pro,binaryify,26a529c9-2654-4b95-a63f-02f6a52429e6,https://github.com/Binaryify/OneDark-Pro.git,8158293,True,0,0,0,0,0,
57,Dart,Dart Code,f57f68ea-9ee8-42b5-9a97-041d3e4278c4,https://github.com/Dart-Code/Dart-Code.git,7648860,True,0,0,0,0,0,
58,Jinja,wholroyd,c941a679-d500-46a8-b2a9-208063125901,https://github.com/wholroyd/vscode-jinja.git,7466043,True,0,0,0,0,0,
59,.NET Runtime Install Tool,Microsoft,1aab81a1-b3d9-4aef-976b-577d5d90fe3f,https://github.com/dotnet/vscode-dotnet-runtime.git,7399966,False,0,0,1,0,1,Prototype Pollution
60,Markdown All in One,Yu Zhang,98790d67-10fa-497c-9113-f6c7489207b2,https://github.com/yzhang-gh/vscode-markdown.git,7230453,True,0,0,0,0,0,
61,Flutter,Dart Code,f6c3ec04-6057-4d9c-b997-69cba07a6158,https://github.com/Dart-Code/Flutter.git,6982820,True,0,0,0,0,0,
62,Japanese Language Pack for Visual Studio Code,Microsoft,077515fe-1509-49c0-9dcc-5511b41682fc,https://github.com/Microsoft/vscode-loc.git,6824207,False,0,0,0,0,0,
